"","time","Q_BVR_m3.d"
"711",2014-12-12,683.079013277071
"712",2014-12-13,478.15530929395
"713",2014-12-14,334.708716505765
"714",2014-12-15,234.296101554035
"715",2014-12-16,189.738800782335
"716",2014-12-17,132.817160547635
"717",2014-12-18,92.9720123833444
"718",2014-12-19,65.0804086683411
"719",2014-12-20,45.5562860678387
"720",2014-12-21,31.8894002474871
"721",2014-12-22,1312.35357982304
"722",2014-12-23,7162.0250556378
"723",2014-12-24,13274.0452197868
"724",2014-12-25,9492.18188222574
"725",2014-12-26,6644.52731755802
"726",2014-12-27,4651.16912229061
"727",2014-12-28,3255.81838560343
"728",2014-12-29,5857.16051045285
"729",2014-12-30,5064.444557317
"730",2014-12-31,3545.1111901219
"731",2015-01-01,2481.57783308533
"732",2015-01-02,1737.10448315973
"733",2015-01-03,3352.80826707703
"734",2015-01-04,3257.19038695392
"735",2015-01-05,2280.03327086775
"736",2015-01-06,1596.02328960742
"737",2015-01-07,1117.2163027252
"738",2015-01-08,782.051411907637
"739",2015-01-09,547.435988335346
"740",2015-01-10,383.205191834742
"741",2015-01-11,268.243634284319
"742",2015-01-12,4471.58298190567
"743",2015-01-13,3130.10808733397
"744",2015-01-14,2436.2674865208
"745",2015-01-15,1705.38724056456
"746",2015-01-16,1193.77106839519
"747",2015-01-17,835.639747876635
"748",2015-01-18,584.947823513645
"749",2015-01-19,409.463476459551
"750",2015-01-20,301.866605436986
"751",2015-01-21,211.30662380589
"752",2015-01-22,147.914636664123
"753",2015-01-23,8110.80705065771
"754",2015-01-24,6816.7417354604
"755",2015-01-25,4771.71921482228
"756",2015-01-26,3423.5107972479
"757",2015-01-27,2396.45755807353
"758",2015-01-28,1677.52029065147
"759",2015-01-29,1174.26420345603
"760",2015-01-30,821.984942419222
"761",2015-01-31,575.389459693455
"762",2015-02-01,539.08215479945
"763",2015-02-02,1700.49513866493
"764",2015-02-03,1190.34659706545
"765",2015-02-04,833.242617945817
"766",2015-02-05,583.269832562072
"767",2015-02-06,408.28888279345
"768",2015-02-07,285.802217955415
"769",2015-02-08,200.061552568791
"770",2015-02-09,140.043086798153
"771",2015-02-10,98.0301607587074
"772",2015-02-11,68.6211125310952
"773",2015-02-12,48.0347787717666
"774",2015-02-13,33.6243451402367
"775",2015-02-14,23.5370415981657
"776",2015-02-15,16.475929118716
"777",2015-02-16,12237.5845399475
"778",2015-02-17,10031.5956149212
"779",2015-02-18,7022.11693044486
"780",2015-02-19,5039.68722320207
"781",2015-02-20,3527.78105624145
"782",2015-02-21,16793.7711486326
"783",2015-02-22,12661.0837243632
"784",2015-02-23,8862.75860705421
