Reservoir,Site,DateTime,Depth_m,Rep,Dilution,a254_m,a350_m,S275_295,S350_400,Sr,Max_FL_Ex,Max_FL_Em,Max_FL,B,T,A,C,M,N,FI,BIX,HIX,T_B,T_M,T_N,T_C,A_T,A_C,A_M,M_C,C_N,Fmax1,Fmax2,Fmax3,Fmax4,abs_Flag,fl_Flag
FCR,50,2019-06-06,9,1,2,10.1332,4.1454,2.072575,1.281557,1.617232,310,310,13.16814435,0.083051381,0.0739271,0.169384255,0.084610713,0.074359923,0.073925129,1.548210836,0.702220864,2.839143854,0.890136914,0.99417935,1.000026658,0.873732153,2.291233591,2.001924458,2.277897123,0.878847617,1.14454602,0.35338155,0.496754611,0.132198015,0.179118506,0,0
FCR,50,2019-06-10,0.1,2,1,12.6665,3.4545,2.231160645,0.917778661,2.43104437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
FCR,50,2019-06-10,0.1,2,2,10.5938,1.3818,2.015927,NA,NA,300,300,12.06491622,0.126221077,0.028280238,0.173937501,0.084737272,0.083066537,0.074208383,1.536314913,0.608367075,3.031030488,0.224053214,0.340452834,0.381092225,0.333740244,6.15049638,2.052668166,2.093953922,0.98028335,1.141882739,0.421106036,0.491534252,0,0.119339329,2,0
FCR,50,2019-06-10,5,2,1,9.4423,2.5333,1.982093077,0.69914744,2.835014424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
FCR,50,2019-06-10,5,2,2,8.7514,1.3818,1.859385938,0.068977517,26.95640559,300,300,17.83764944,0.076468502,0.00877561,0.193428956,0.099747969,0.081925952,0.060696322,1.517062928,0.603726321,5.446221741,0.114761108,0.107116363,0.144582237,0.087977832,22.0416537,1.939176895,2.361021772,0.821329527,1.643393961,0.463052518,0.554218668,0,0.077714861,0,0
FCR,50,2019-06-10,9,1,1,8.9817,2.5333,1.963044922,0.747074459,2.627642932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
FCR,50,2019-06-10,9,1,2,8.2908,1.3818,1.826742646,0.210795261,8.665956905,300,300,11.9543044,0.124776236,0.028020963,0.173163841,0.085011885,0.082916991,0.073867427,1.536314913,0.60696787,3.057719702,0.22456971,0.337939944,0.379341265,0.329612304,6.179796182,2.036936857,2.088399974,0.975357634,1.15087107,0.41826636,0.48707281,0,0.117303275,0,0
FCR,50,2019-06-13,0.1,1,1,15.6604,5.5272,2.488803896,1.446445835,1.720634009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
FCR,50,2019-06-13,0.1,1,2,12.8968,4.1454,2.217004177,1.2147063,1.825135983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
FCR,50,2019-06-13,0.1,1,2,12.4362,4.1454,2.165048516,1.189567822,1.82002949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
