Reservoir,Site,DateTime,Depth_m,Chla_ugL,Pheo_ugL,Flag_Chla,Flag_Pheo
SHR,50,2015-05-08 12:00:00,28,1.2,-1.2,0,4
SHR,50,2015-05-22 12:00:00,0.1,1.2,0.1,0,4
SHR,50,2015-05-22 12:00:00,8,1.2,0.5,0,4
SHR,50,2015-05-22 12:00:00,28,1.2,-1.2,0,4
SHR,50,2015-05-29 12:00:00,0.1,1.2,0.1,0,4
SHR,50,2015-05-29 12:00:00,8,2.3,-0.2,0,4
SHR,50,2015-05-29 12:00:00,31,0.6,0.3,4,4
SHR,50,2015-06-12 12:00:00,0.1,1.2,0.1,0,4
SHR,50,2015-06-12 12:00:00,8,3.5,0.3,0,4
SHR,50,2015-06-12 12:00:00,31,1.2,0.5,0,4
SHR,50,2015-06-26 12:00:00,0.1,0.6,0.7,4,4
SHR,50,2015-06-26 12:00:00,8,2.3,1.4,0,0
SHR,50,2015-06-26 12:00:00,31,1.2,1.3,0,0
SHR,50,2015-07-10 12:00:00,0.1,0.6,0.3,4,4
SHR,50,2015-07-10 12:00:00,8,1.2,0.1,0,4
SHR,50,2015-07-10 12:00:00,31,0,0.4,4,4
SHR,50,2015-07-24 12:00:00,0.1,0,0,4,4
SHR,50,2015-07-24 12:00:00,8,0.6,0.7,4,4
SHR,50,2015-07-24 12:00:00,31,0.6,-1,4,4
SHR,50,2015-08-07 12:00:00,8,1.2,NA,2,2
SHR,50,2015-08-26 12:00:00,0.1,1.2,NA,2,2
SHR,50,2015-09-09 12:00:00,8,1.2,6.3,2,2
FCR,50,2016-04-25 12:00:00,3.8,2.1,0.4,1,1
FCR,50,2016-04-25 12:00:00,5,3.5,2,1,1
FCR,50,2016-05-02 12:00:00,1.6,3.5,0,1,1
FCR,50,2016-05-02 12:00:00,6.2,4.8,2.6,0,0
FCR,50,2016-05-09 12:00:00,3.8,4.2,2.3,0,0
FCR,50,2016-05-09 12:00:00,5,5.5,2.4,0,0
FCR,50,2016-05-16 12:00:00,5,8.2,3.6,0,0
FCR,50,2016-05-16 12:00:00,6.2,6.9,3.4,0,0
FCR,50,2016-05-23 12:00:00,5,11.9,5.2,0,0
FCR,50,2016-05-23 12:00:00,6,10.4,5.6,0,0
FCR,50,2016-05-30 12:00:00,1.6,4.2,0.8,1,1
FCR,50,2016-05-30 12:00:00,1.6,4.2,3.8,0,0
FCR,50,2016-05-30 12:00:00,5,4.2,3.3,0,0
FCR,50,2016-05-30 12:00:00,6.2,4.2,2.3,1,1
FCR,50,2016-05-31 12:00:00,5,4.8,3.1,0,0
FCR,50,2016-05-31 12:00:00,6.2,4.8,4.6,0,0
FCR,50,2016-06-02 12:00:00,1.6,4.8,2.6,0,0
FCR,50,2016-06-02 12:00:00,5,5.5,2.9,0,0
FCR,50,2016-06-06 12:00:00,3.8,11.1,2.9,0,0
FCR,50,2016-06-06 12:00:00,5,9.7,2.8,0,0
FCR,50,2016-06-13 12:00:00,1.6,4.2,1.8,0,0
FCR,50,2016-06-13 12:00:00,3.8,11.4,2.8,0,0
FCR,50,2016-06-13 12:00:00,5,9,3.5,0,0
FCR,50,2016-06-20 12:00:00,3.8,13.4,7.8,0,0
FCR,50,2016-06-20 12:00:00,5,12.3,7.8,0,0
FCR,50,2016-06-27 12:00:00,3.8,9.7,7.2,0,0
FCR,50,2016-06-27 12:00:00,5,9.8,7.1,0,0
FCR,50,2016-06-28 12:00:00,1.6,5.2,3.8,0,0
FCR,50,2016-06-28 12:00:00,3.8,6.1,4.5,0,0
FCR,50,2016-06-28 12:00:00,5,6.9,4.2,0,0
FCR,50,2016-06-30 12:00:00,4.1,6.9,3.9,0,0
FCR,50,2016-06-30 12:00:00,5,7.5,5.8,0,0
FCR,50,2016-07-05 12:00:00,1.6,7.8,4.2,0,0
FCR,50,2016-07-05 12:00:00,3.8,10.7,6,0,0
FCR,50,2016-07-11 12:00:00,3.8,7.9,4,0,0
FCR,50,2016-07-11 12:00:00,5,11.1,4.8,0,0
FCR,50,2016-07-18 12:00:00,3.8,11.5,4.7,0,0
FCR,50,2016-07-18 12:00:00,5,7.1,3.7,0,0
FCR,50,2016-07-25 12:00:00,3.8,3.9,0.7,3,3
FCR,50,2016-07-25 12:00:00,6,18.7,2.7,3,3
FCR,50,2016-07-27 12:00:00,4,6.5,2,3,3
FCR,50,2016-07-27 12:00:00,7,24.9,5.2,3,3
FCR,50,2016-08-01 12:00:00,2.8,8.5,1.7,3,3
FCR,50,2016-08-01 12:00:00,4.5,7.5,1.9,3,3
FCR,50,2016-08-01 12:00:00,6.2,57.1,12.7,3,3
FCR,50,2016-08-08 12:00:00,1.6,7,2.2,0,0
FCR,50,2016-08-08 12:00:00,5,56.7,12.8,3,3
FCR,50,2016-08-15 12:00:00,3.8,10.8,6.3,3,3
FCR,50,2016-08-15 12:00:00,5,25.9,10.7,3,3
FCR,50,2016-08-26 12:00:00,3.8,16.1,13.3,3,3
FCR,50,2016-08-26 12:00:00,5,34.2,18.3,3,3
FCR,50,2016-09-02 12:00:00,1.6,10.6,5.9,0,0
FCR,50,2016-09-02 12:00:00,3.8,11.4,14.8,0,0
FCR,50,2016-09-09 12:00:00,3.8,20.8,11.9,0,0
FCR,50,2016-09-09 12:00:00,5,21.8,14.8,0,0
FCR,50,2016-09-20 12:00:00,1.6,13.1,7.4,0,0
FCR,50,2016-09-20 12:00:00,5,11.8,6.9,0,0
FCR,50,2016-09-30 12:00:00,2,14.5,6.1,0,0
FCR,50,2016-09-30 12:00:00,6,28.2,9.5,0,0
